legajo,telefono_empleado
1,+54 9 3899 2620
1,+54 9 3596 2020
2,+54 9 3672 1679
2,+54 15 2301 4838
3,+54 15 2667 3852
3,+54 9 3334 9726
4,+54 15 2511 1716
4,+54 9 3266 4034
5,+54 15 2902 1781
5,+54 9 3653 8382
6,+54 15 2740 1543
6,+54 9 3166 7107
7,+54 9 3572 4097
7,+54 9 3883 3551
8,+54 9 3745 1092
8,+54 15 2160 0472
9,+54 15 2774 0884
9,+54 9 3180 2173
10,+54 15 2436 3417
10,+54 9 3738 1020
11,+54 9 3192 1964
11,+54 9 3715 1367
12,+54 9 3521 9520
12,+54 9 3578 7520
13,+54 15 2272 3914
13,+54 9 3224 1256
14,+54 15 2546 4456
14,+54 15 2647 1165
15,+54 15 2442 9579
15,+54 15 2930 8474
16,+54 9 3646 3390
16,+54 9 3457 3949
17,+54 15 2501 7299
17,+54 15 2890 5484
18,+54 9 3741 8508
18,+54 9 3892 2514
19,+54 9 3157 1036
19,+54 15 2109 6504
20,+54 9 3444 5159
20,+54 9 3729 3739
21,+54 15 2348 2820
21,+54 15 2134 4536
22,+54 9 3420 6019
22,+54 9 3553 1730
23,+54 15 2100 6506
23,+54 9 3906 2624
24,+54 15 2852 9866
24,+54 9 3452 1077
25,+54 9 3957 0557
25,+54 15 2402 5701
26,+54 15 2407 8933
26,+54 15 2542 2941
27,+54 15 2336 8647
27,+54 9 3352 7133
28,+54 15 2846 2255
28,+54 15 2463 3437
29,+54 15 2686 7522
29,+54 9 3162 9625
30,+54 9 3137 9990
30,+54 15 2496 0706
31,+54 15 2351 3053
31,+54 15 2534 6940
32,+54 9 3304 3187
32,+54 15 2981 8148
33,+54 15 2405 4033
33,+54 15 2869 5893
34,+54 9 3222 0859
34,+54 9 3716 0043
35,+54 9 3928 0186
35,+54 9 3102 7449
36,+54 9 3395 3603
36,+54 9 3787 1682
37,+54 9 3935 5355
37,+54 9 3494 3744
38,+54 15 2700 0881
38,+54 9 3102 7350
39,+54 15 2118 9424
39,+54 9 3466 8899
40,+54 15 2681 9540
40,+54 15 2319 4398
41,+54 15 2636 7335
41,+54 15 2516 3534
42,+54 9 3680 8691
42,+54 9 3256 7398
43,+54 9 3521 4348
43,+54 9 3394 4191
44,+54 9 3349 2854
44,+54 15 2186 6107
45,+54 15 2952 0158
45,+54 9 3334 8516
46,+54 15 2423 4594
46,+54 9 3716 9685
47,+54 9 3358 3454
47,+54 15 2968 7878
48,+54 9 3968 8703
48,+54 15 2250 4037
49,+54 15 2103 9357
49,+54 15 2587 5212
50,+54 9 3531 0698
50,+54 15 2243 1592
51,+54 15 2770 0541
51,+54 9 3932 9707
52,+54 15 2467 0914
52,+54 15 2999 2829
53,+54 9 3697 1981
53,+54 9 3956 7300
54,+54 15 2346 8071
54,+54 15 2712 5580
55,+54 9 3588 9170
55,+54 9 3219 5725
56,+54 15 2882 8625
56,+54 15 2865 6346
57,+54 15 2351 2153
57,+54 9 3252 2763
58,+54 9 3425 3411
58,+54 15 2887 8827
59,+54 9 3907 7257
59,+54 15 2926 4983
60,+54 9 3126 0257
60,+54 9 3545 2793
61,+54 9 3870 9546
61,+54 9 3154 9762
62,+54 9 3239 9439
62,+54 9 3673 1449
63,+54 15 2185 4650
63,+54 9 3140 7708
64,+54 9 3377 5856
64,+54 9 3823 0402
65,+54 9 3168 3546
65,+54 15 2808 9780
66,+54 9 3457 2044
66,+54 15 2125 2465
67,+54 9 3977 0547
67,+54 9 3974 6168
68,+54 15 2462 9095
68,+54 9 3300 7098
69,+54 15 2822 8764
69,+54 15 2207 2916
70,+54 9 3740 4015
70,+54 9 3504 5557
71,+54 9 3875 6815
71,+54 9 3493 4460
72,+54 15 2215 1719
72,+54 15 2361 1519
73,+54 9 3664 9886
73,+54 15 2477 6961
74,+54 15 2846 4799
74,+54 15 2865 9691
75,+54 9 3903 7149
75,+54 15 2356 1854
76,+54 15 2167 4039
76,+54 9 3464 7617
77,+54 15 2838 4097
77,+54 15 2739 7370
78,+54 15 2850 7979
78,+54 15 2684 6858
79,+54 15 2893 0665
79,+54 15 2458 5904
80,+54 9 3194 4387
80,+54 9 3959 6555
81,+54 9 3750 3378
81,+54 15 2913 4169
82,+54 9 3707 6189
82,+54 15 2407 7593
83,+54 15 2102 0219
83,+54 9 3560 9032
84,+54 9 3985 1598
84,+54 9 3847 5054
85,+54 15 2367 9080
85,+54 9 3901 1094
86,+54 9 3594 5586
86,+54 15 2715 7740
87,+54 15 2130 2264
87,+54 15 2838 8223
88,+54 9 3362 2622
88,+54 15 2228 0562
89,+54 15 2854 7636
89,+54 15 2521 4304
90,+54 15 2774 9559
90,+54 15 2598 9277
91,+54 15 2555 2705
91,+54 9 3602 9214
92,+54 15 2157 8966
92,+54 15 2279 3394
93,+54 9 3425 1084
93,+54 9 3730 2206
94,+54 15 2536 9712
94,+54 15 2132 7962
95,+54 15 2821 6261
95,+54 15 2141 4186
96,+54 9 3646 9230
96,+54 9 3261 4202
97,+54 15 2148 6725
97,+54 9 3767 4804
98,+54 9 3375 2390
98,+54 15 2881 0518
99,+54 15 2422 9339
99,+54 9 3804 9721
100,+54 15 2555 5682
100,+54 15 2428 6388
