legajo,telefono_empleado
8768,+54 9 3245 7826
3770,+54 9 3854 4136
2328,+54 9 3294 0545
9597,+54 15 2742 6307
7293,+54 9 3135 7967
1685,+54 15 2760 3639
3968,+54 15 2538 6883
9163,+54 9 3795 1530
2546,+54 15 2181 4096
6475,+54 15 2117 7427
7254,+54 9 3397 7476
7564,+54 15 2952 2866
1983,+54 9 3753 1577
7771,+54 15 2679 3455
8326,+54 9 3623 3930
9493,+54 9 3589 9728
5157,+54 9 3410 5403
3306,+54 9 3327 2288
4588,+54 9 3454 5734
4677,+54 9 3334 1303
8328,+54 9 3808 7222
7219,+54 9 3858 8639
3859,+54 9 3832 8224
3200,+54 15 2188 6572
2663,+54 9 3718 0688
6271,+54 15 2442 1861
1365,+54 15 2722 4215
6773,+54 15 2261 4831
4142,+54 15 2498 4137
6659,+54 9 3621 9562
1997,+54 15 2944 9946
6204,+54 15 2208 9276
2975,+54 15 2263 7874
8714,+54 9 3267 6531
1147,+54 9 3519 7981
1519,+54 9 3652 3044
2087,+54 15 2868 8303
2031,+54 15 2286 9497
6378,+54 9 3254 2432
1648,+54 15 2536 3432
8852,+54 9 3765 4119
9436,+54 9 3666 3977
2835,+54 9 3778 6045
8638,+54 15 2885 2742
9336,+54 9 3668 0176
4075,+54 9 3573 6923
1041,+54 15 2654 0651
1093,+54 15 2825 4382
4165,+54 15 2695 5785
8141,+54 15 2731 2928
5330,+54 15 2451 1864
8425,+54 9 3896 9044
9463,+54 9 3536 0424
1055,+54 15 2627 6635
6978,+54 9 3272 3487
8694,+54 15 2762 7072
2112,+54 15 2851 9977
5467,+54 9 3518 5581
8389,+54 9 3439 1892
2217,+54 9 3331 5990
3869,+54 15 2266 4665
1669,+54 9 3722 8026
5008,+54 15 2521 4037
7093,+54 9 3944 7947
2348,+54 15 2481 5032
2095,+54 9 3526 6731
6856,+54 9 3822 0609
3135,+54 9 3131 2807
9514,+54 15 2760 6864
7180,+54 9 3146 7357
3436,+54 15 2763 9584
9291,+54 15 2979 4431
7282,+54 15 2344 0836
9293,+54 9 3836 2182
4320,+54 9 3925 8848
8072,+54 15 2634 4562
6086,+54 9 3247 1751
2454,+54 15 2934 4393
9076,+54 9 3343 7960
6475,+54 15 2438 8981
7866,+54 15 2170 1790
2993,+54 9 3193 7096
3361,+54 9 3105 8659
3123,+54 15 2303 2300
7717,+54 9 3202 5205
6678,+54 9 3701 8518
1494,+54 9 3610 5238
8658,+54 9 3853 9068
5885,+54 15 2197 2209
1269,+54 15 2837 6878
1553,+54 9 3466 4114
7654,+54 9 3122 7760
2044,+54 9 3356 5014
3155,+54 9 3208 2042
3492,+54 9 3544 0326
3772,+54 15 2470 4657
9235,+54 15 2237 4331
7292,+54 9 3574 3482
9701,+54 9 3864 9994
2072,+54 9 3545 1871
