legajo,telefono_empleado
101,+54 9 3155 9090
101,+54 9 3211 4958
102,+54 9 3700 0880
102,+54 15 2916 8622
103,+54 9 3648 6232
103,+54 9 3248 5573
104,+54 15 2935 9988
104,+54 9 3141 9472
105,+54 9 3823 5972
105,+54 9 3340 4188
106,+54 9 3368 8557
106,+54 15 2323 4568
107,+54 9 3504 7164
107,+54 15 2451 8193
108,+54 15 2441 6754
108,+54 15 2175 9202
109,+54 15 2768 7134
109,+54 9 3824 4741
110,+54 9 3363 4693
110,+54 15 2759 6802
111,+54 9 3757 7702
111,+54 15 2779 9214
112,+54 15 2406 1997
112,+54 9 3809 0485
113,+54 9 3812 2487
113,+54 9 3107 2937
114,+54 15 2252 2148
114,+54 15 2817 2754
115,+54 9 3497 5833
115,+54 15 2677 7478
116,+54 9 3159 6303
116,+54 9 3953 7266
117,+54 15 2883 3480
117,+54 9 3446 2742
118,+54 9 3675 3260
118,+54 15 2657 6883
119,+54 15 2106 3815
119,+54 15 2974 3443
120,+54 15 2319 3612
120,+54 9 3247 7418
121,+54 15 2627 9257
121,+54 15 2642 8044
122,+54 15 2185 5593
122,+54 15 2772 2362
123,+54 15 2206 0293
123,+54 9 3877 5736
124,+54 9 3341 2435
124,+54 15 2741 0927
125,+54 15 2647 0591
125,+54 9 3694 3885
126,+54 15 2543 0726
126,+54 15 2507 2752
127,+54 15 2249 8136
127,+54 9 3387 3837
128,+54 15 2800 2956
128,+54 9 3303 6287
129,+54 9 3298 9529
129,+54 9 3756 5694
130,+54 9 3516 1436
130,+54 15 2247 6612
131,+54 15 2969 7100
131,+54 9 3255 1397
132,+54 9 3782 7883
132,+54 9 3111 2836
133,+54 15 2395 7536
133,+54 15 2996 5338
134,+54 9 3503 5353
134,+54 15 2875 2837
135,+54 15 2675 0293
135,+54 9 3519 1120
136,+54 9 3291 0376
136,+54 15 2610 0933
137,+54 15 2319 4818
137,+54 9 3663 9461
138,+54 9 3978 9278
138,+54 9 3168 4990
139,+54 15 2486 2900
139,+54 9 3684 7035
140,+54 9 3461 2845
140,+54 15 2792 5744
141,+54 9 3802 1987
141,+54 9 3879 9470
142,+54 9 3488 6342
142,+54 9 3177 7666
143,+54 9 3902 1611
143,+54 9 3493 8013
144,+54 9 3276 6197
144,+54 9 3174 8775
145,+54 9 3390 3373
145,+54 9 3844 0938
146,+54 15 2640 7944
146,+54 9 3816 3293
147,+54 9 3162 9647
147,+54 9 3355 2850
148,+54 9 3678 6770
148,+54 15 2240 5432
149,+54 9 3759 8911
149,+54 9 3643 1765
150,+54 15 2846 8159
150,+54 9 3223 6194
151,+54 9 3909 5679
151,+54 9 3617 0588
152,+54 9 3163 7541
152,+54 15 2125 9085
153,+54 9 3425 3181
153,+54 15 2216 7780
154,+54 9 3482 1170
154,+54 9 3804 8280
155,+54 15 2316 2234
155,+54 15 2577 4243
156,+54 15 2574 9113
156,+54 15 2892 4882
157,+54 15 2512 4854
157,+54 15 2784 9919
158,+54 9 3788 7636
158,+54 15 2490 1058
159,+54 15 2231 0997
159,+54 9 3852 2798
160,+54 15 2194 9680
160,+54 15 2515 4366
161,+54 15 2189 4879
161,+54 15 2799 7033
162,+54 15 2232 6132
162,+54 15 2557 3900
163,+54 9 3539 5400
163,+54 15 2269 9072
164,+54 15 2218 6972
164,+54 15 2535 0086
165,+54 9 3130 3397
165,+54 9 3577 8734
166,+54 9 3105 9628
166,+54 9 3649 9594
167,+54 9 3489 9887
167,+54 15 2279 8923
168,+54 9 3786 8816
168,+54 15 2437 3807
169,+54 15 2708 4100
169,+54 9 3892 8531
170,+54 15 2832 0964
170,+54 15 2665 1294
171,+54 9 3338 8288
171,+54 15 2853 5192
172,+54 15 2863 8364
172,+54 9 3628 0432
173,+54 9 3411 0932
173,+54 15 2494 2922
174,+54 15 2294 6974
174,+54 15 2509 2872
175,+54 9 3152 2274
175,+54 9 3974 4725
176,+54 9 3507 1687
176,+54 9 3803 0408
177,+54 9 3900 3874
177,+54 15 2337 7567
178,+54 9 3254 1482
178,+54 9 3195 2419
179,+54 9 3710 3527
179,+54 15 2400 9414
180,+54 15 2653 7350
180,+54 15 2716 0552
181,+54 15 2787 4129
181,+54 15 2633 3703
182,+54 15 2442 6219
182,+54 9 3411 3845
183,+54 9 3364 6920
183,+54 15 2224 0575
184,+54 9 3593 8841
184,+54 9 3328 4524
185,+54 15 2426 9018
185,+54 15 2526 9499
186,+54 9 3701 5887
186,+54 15 2733 1515
187,+54 9 3336 7626
187,+54 15 2355 6382
188,+54 15 2379 5378
188,+54 9 3730 9986
189,+54 9 3745 7328
189,+54 15 2748 8970
190,+54 9 3725 0584
190,+54 9 3875 0119
191,+54 15 2940 9164
191,+54 9 3256 5181
192,+54 9 3837 2295
192,+54 9 3688 2540
193,+54 9 3820 4773
193,+54 15 2409 0704
194,+54 9 3147 7435
194,+54 15 2576 3583
195,+54 9 3111 6253
195,+54 15 2113 6510
196,+54 15 2803 0157
196,+54 15 2687 2643
197,+54 9 3104 7328
197,+54 9 3843 2030
198,+54 9 3881 8398
198,+54 9 3883 0514
199,+54 15 2931 0603
199,+54 9 3825 8800
200,+54 9 3650 0317
200,+54 9 3617 0774
